HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
97,41,5.42969283e-05,6.41057122e-05,3.42651765e-05,883
97,42,4.91917262e-07,8.81873566e-05,3.50513583e-05,669
97,43,9.86797459e-05,8.28017164e-06,3.50472037e-05,457
97,44,2.28336266e-05,5.60638946e-05,3.49455513e-05,1002
97,45,7.31797991e-05,5.23801646e-05,3.65599262e-05,1214
97,46,1.60702239e-05,5.32754275e-05,3.57518002e-05,733
97,47,7.44544814e-05,4.69822699e-05,3.87038162e-05,3155
97,48,5.14679123e-05,8.00192065e-05,3.73650764e-05,785
97,49,3.26972877e-05,2.14226984e-05,3.66412969e-05,35
97,50,7.96613822e-05,5.50527329e-05,3.75308809e-05,531
97,51,7.50924810e-05,2.14996317e-06,3.76227545e-05,16
97,52,1.16042887e-04,2.52676400e-05,4.13921043e-05,1243
97,53,1.24461250e-04,7.47456215e-05,4.11418987e-05,1040
97,54,2.16967892e-05,7.13917034e-05,4.08447049e-05,622
97,55,1.04763829e-04,9.50119938e-05,4.27559535e-05,1093
97,56,4.78293696e-05,1.04923733e-04,4.19531207e-05,322
97,57,1.18213975e-04,3.29404320e-05,4.39672185e-05,643
97,58,4.18123127e-05,4.60204410e-06,4.52751519e-05,969
97,59,3.44244581e-05,8.98963917e-05,4.54101755e-05,991
97,60,9.31756367e-05,1.18167824e-04,4.51429551e-05,1182
97,61,5.25843207e-05,9.05922716e-05,4.45553815e-05,687
97,62,1.15393021e-04,2.48479482e-05,4.46189370e-05,97
97,63,1.30783083e-04,4.65222656e-05,4.43054341e-05,41
97,64,8.30981371e-05,1.36290473e-04,4.53762696e-05,352
97,65,5.70995981e-05,1.01743781e-05,4.61531017e-05,209
97,66,4.74885637e-05,5.62891000e-05,4.83464501e-05,766
97,67,5.47562595e-05,1.10593581e-04,4.86526988e-05,752
97,68,1.37097049e-05,5.14436178e-05,5.19822388e-05,2934
97,69,8.27415352e-05,5.24336101e-05,4.97865913e-05,665
97,70,1.15303541e-04,5.23956041e-05,5.03566007e-05,837
97,71,9.74613577e-05,7.42438569e-05,5.08529338e-05,1088
97,72,1.35312235e-04,1.17653814e-04,5.11083490e-05,144
97,73,3.53788892e-05,9.08719012e-05,5.28475903e-05,856
97,74,3.20193358e-05,2.70530691e-05,5.25522446e-05,587
97,75,1.25390550e-04,8.51018413e-05,5.28546734e-05,224
97,76,1.29872278e-05,1.04295883e-04,5.26788717e-05,359
97,77,6.97895230e-05,6.17186379e-05,5.30371944e-05,548
97,78,1.81418436e-05,9.89326218e-05,5.32341655e-05,1424
97,79,6.51582959e-05,8.87380593e-05,5.33163184e-05,396
98,1,2.75432940e-05,2.72626457e-05,3.34165605e-07,415
98,2,8.83677203e-05,7.65122313e-05,0.00000000e+00,15
98,3,2.49940931e-05,8.51693403e-05,5.92644767e-07,695
98,4,5.39340872e-05,9.80867771e-05,2.16491685e-06,1131
98,5,1.02911406e-04,1.10647248e-04,5.12622762e-07,478
98,6,6.34112075e-05,1.11843168e-04,2.23286591e-07,261
98,7,9.56495787e-05,1.12530899e-04,1.27714191e-06,1028
98,8,2.02197170e-05,1.14519797e-04,7.45839714e-07,1044
98,9,3.23537279e-05,1.24710379e-04,6.57411121e-08,62
98,10,5.07115183e-05,4.33953683e-05,5.19469631e-06,1361
98,11,8.78156570e-05,2.77818108e-05,6.40222424e-06,1008
98,12,9.58632008e-05,1.13935261e-04,4.42019382e-06,39
98,13,2.36749802e-05,5.16982209e-06,7.34828473e-06,629
98,14,1.35723283e-04,2.32113798e-05,1.00345842e-05,3304
98,15,1.09182918e-04,1.08222215e-04,8.46750481e-06,587
98,16,5.04311829e-05,4.34503090e-05,8.46513922e-06,14
98,17,1.05648811e-04,1.21833655e-04,8.80581047e-06,246
98,18,5.67673633e-05,1.06059124e-04,1.00831430e-05,426
98,19,1.78992032e-05,2.47047046e-05,1.13972183e-05,917
98,20,1.05035258e-04,1.22038582e-04,1.51337917e-05,680
98,21,1.13992777e-04,9.39794409e-05,1.43641955e-05,554
98,22,4.73626642e-05,3.62735182e-06,1.74861034e-05,1834
98,23,9.14395714e-05,2.46820327e-05,1.66693735e-05,787
98,24,1.68308161e-05,4.03222184e-05,1.67260059e-05,1532
98,25,8.66463670e-05,6.61257000e-05,1.81435098e-05,2208
